Id,Sentence_Text,Letters,Words,Num_Sentences,Raw_Gulpease_index,Normalized_Gulpease_index
1,La statua è stata realizzata nel 1998 dallo scultore Luigi Mattei.,51,11,1,69.91,69.91
2,In questa nicchia è esposta la macchina fotografica che appartenne all’avvocato astigiano Secondo Pia con la quale scattò il 25 e il 28 maggio 1998 le prime fotografie della Sìndone.,143,30,1,51.33,51.33
3,Si tratta di un apparecchio appositamente costruito per il Pia da un artigiano torinese al fine di eseguire fotografie di grande formato.,115,22,1,50.36,50.36
4,"Fotografia dell'altare della Sìndone in Duomo durante l'ostensione del 1998, fotografia effettuata da Secondo Pia.",92,15,1,47.67,47.67
5,Ingrandimento del volto in negativo fotografico.,42,6,1,69.0,69.0
6,In questa nicchia sono esposte alcune realizzazioni di artisti ispirate al volto dell’Uomo della Sìndone.,89,15,1,49.67,49.67
7,Si tratta di opere prodotte a partire dal 1931 sino ai giorni nostri.,52,13,1,72.08,72.08
8,"Al centro la suggestiva opera “Resurrezione” del giovane artista contemporaneo polacco Bartosz Keska di Zakopane, che coglie il momento del ritorno alla vita di Cristo, espresso dalla sagoma fortemente luminosa che si anima al di sotto del telo sindonico.",212,39,1,42.33,42.33
9,"La pubblicazione dei risultati della fotografie del Pia provocò un rinnovato interesse nei confronti della Sìndone, ma anche molte polemiche.",120,20,1,44.0,44.0
10,La Sìndone presenta due tipi di impronte: ematiche e corpòree.,51,10,1,68.0,68.0
11,"Riproduzione di un casco di rami spinosi, che rimane l'ipotesi più accreditata della corona di Spine del racconto.",94,18,1,53.44,53.44
12,Si può riconoscere la frattura del naso e un ematoma allo zigomo destro.,59,13,1,66.69,66.69
13,"Sulla fronte sono evidenti delle colature di sangue provocate da un casco di rami spinosi, come quello esposto a fianco.",99,20,1,54.5,54.5
14,"Secondo Pia, nato nel 1855 e morto nel 1941, fu uno dei più grandi fotografi dell’800.",56,16,1,72.75,72.75
15,In questa vetrina sono documentate le operazioni per la conservazione della Sìndone compiute nel giugno-luglio 2002.,95,16,1,48.38,48.38
