Id,Lang,Sentence_Text,Letters,Words,Num_Sentences,flesch
1,en,The statue was created in nineteen ninety-eight by the sculptor Luigi Mattei.,64,12,1,32.5
2,en,"In this niche is displayed the camera that belonged to the lawyer from Asti, Secondo Pia, with which he took the first photographs of the Shroud on May 25 and 28, eighteen ninety-eight.",144,33,1,52.85
3,en,It is a device specially built for Pia by a Turin craftsman in order to take large-format photographs.,83,18,1,47.56
4,en,"Photograph of the Shroud’s altar in the Cathedral during the exhibition of eighteen ninety-eight, taken by Secondo Pia.",98,18,1,28.77
5,en,Enlargement of the face in photographic negative.,42,7,1,18.44
6,en,This niche displays several works by artists inspired by the face of the Man of the Shroud.,74,17,1,80.1
7,en,These are works produced from nineteen thirty-one to the present day.,57,11,1,64.92
8,en,"At the center is the evocative work 'Resurrection' by the young contemporary Polish artist Bartosz Keska from Zakopane, which captures the moment of Christ's return to life, expressed by the intensely luminous silhouette that comes to life beneath the Shroud.",214,40,1,18.19
9,en,"The publication of the results of Pia's photographs caused a renewed interest in the Shroud, but also many controversies.",100,19,1,45.07
10,en,The Shroud presents two types of impressions: bloodstains and body marks.,61,11,1,72.62
11,en,"Reproduction of a helmet of thorny branches, which remains the most credited hypothesis for the Crown of Thorns in the narrative.",107,21,1,40.49
12,en,One can recognize the fracture of the nose and a hematoma on the right cheekbone.,66,15,1,61.89
13,en,"On the forehead, blood flows are evident, caused by a helmet of thorny branches, like the one displayed alongside.",92,19,1,53.97
14,en,"Secondo Pia, born in 1855 and died in nineteen forty-one, was one of the greatest photographers of the nineteenth century.",95,20,1,46.95
15,en,This display case documents the operations for the conservation of the Shroud carried out in June-July two thousand and two.,103,20,1,42.72
16,en,"On the left wrist, a trickle of blood is visible, having flowed from a wound caused by the penetration of a nail.",89,22,1,72.99
17,en,"Displayed alongside are three eighteenth-century nails reconstructed in imitation of those used for crucifixions in Roman times, forged probably including some fragments of nails believed to be original, as shown by the hanging seals.",197,34,1,18.05
18,en,Conservation operations in the two thousands.,39,6,1,17.45
19,en,"On April 21, 1988, fabric samples were taken from the Shroud to be subjected to dating using the radiocarbon method at the laboratories of Oxford, Zurich, and Tucson.",128,28,1,39.43
20,en,Studies of the image of the Shroud with the aid of computers are represented.,63,14,1,65.73
21,en,This display case illustrates the study of the various traces present on the Shroud.,70,14,1,59.68
22,en,"Some marks are due to burns, wax, and water.",33,9,1,103.7
23,en,"Other traces derive from the contact of the sheet with the body, such as blood, serum, and skin cells.",80,19,1,76.23
24,en,"Furthermore, the preservative substances used are analyzed, including aloe and myrrh.",72,11,1,3.4
25,en,"Finally, the dust that has deposited on the fabric over the centuries is examined.",67,14,1,35.51
26,en,Reconstruction of a loom of the period.,32,7,1,66.79
27,en,"Scale reconstruction of a first-century Jewish tomb, set against a floor plan of the Basilica of the Holy Sepulchre in Jerusalem during the Crusader period.",129,25,1,25.8
28,en,Blessed Sebastiano Valfrè.,23,3,1,34.59
29,en,Saint Francis de Sales.,19,4,1,75.88
30,en,Pope Pius Seventh.,15,3,1,62.79
31,en,"In this display case, you can see some fragments of the fabrics that protected the Shroud over time inside the chest in which it was kept, distributed as 'contact' relics and accompanied by an authentication certificate testifying to their actual contact with the Shroud.",223,44,1,21.82
32,en,"Certain objects that came into contact with the Cloth, such as one of the pins used to secure the Shroud during the 1868 exhibition displayed here, were also religiously preserved and passed down.",157,33,1,47.72
